week,id,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders,category,cuisine,city_code,region_code,center_type,op_area,state,Country
11-02-2018,1040403,24,1885,136.83,136.83,0,0,1498,Beverages,Thai,614,85,TYPEB,3.6,IL,US
18-02-2018,1133856,24,1885,135.86,134.86,0,0,1176,Beverages,Thai,614,85,TYPEB,3.6,MH,US
25-02-2018,1009136,24,1885,135.83,136.83,0,0,1444,Beverages,Thai,614,85,TYPEB,3.6,IL,US
04-03-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
11-03-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
18-03-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
25-03-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
01-04-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
08-04-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
15-04-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
22-04-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
29-04-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,mh,in
06-05-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
13-05-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
20-05-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
27-05-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
03-06-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
10-06-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
17-06-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
24-06-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,MH,In
01-07-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
08-07-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
15-07-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
22-07-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
29-07-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
05-08-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
12-08-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
19-08-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
26-08-2018,1260804,24,1885,134.83,136.83,0,0,1297,Beverages,Thai,614,85,TYPEB,3.6,IL,US
02-09-2018,1124034,24,1885,121.28,121.28,0,0,890,Beverages,Thai,614,85,TYPEB,3.6,IL,US
09-09-2018,1313556,24,1885,145.53,144.53,0,0,1106,Beverages,Thai,614,85,TYPEB,3.6,IL,US
16-09-2018,1293490,24,1885,145.53,145.53,0,0,971,Beverages,Thai,614,85,TYPEB,3.6,IL,US
23-09-2018,1212312,24,1885,146.5,146.5,0,0,1242,Beverages,Thai,614,85,TYPEB,3.6,IL,US
30-09-2018,1057814,24,1885,145.53,144.53,0,0,1229,Beverages,Thai,614,85,TYPEB,3.6,IL,US
07-10-2018,1023216,24,1885,145.56,143.56,0,0,1176,Beverages,Thai,614,85,TYPEB,3.6,IL,US
14-10-2018,1417870,24,1885,145.53,145.53,0,0,1295,Beverages,Thai,614,85,TYPEB,3.6,IL,US
21-10-2018,1273541,24,1885,144.53,145.53,0,0,1013,Beverages,Thai,614,85,TYPEB,3.6,IL,US
28-10-2018,1026467,24,1885,143.59,142.59,0,0,1135,Beverages,Thai,614,85,TYPEB,3.6,MH,US
04-11-2018,1089578,24,1885,141.62,143.62,0,0,1133,Beverages,Thai,614,85,TYPEB,3.6,IL,US
11-11-2018,1338443,24,1885,145.53,146.53,0,0,1068,Beverages,Thai,614,85,TYPEB,3.6,IL,US
18-11-2018,1362966,24,1885,146.5,147.5,0,0,879,Beverages,Thai,614,85,TYPEB,3.6,IL,US
25-11-2018,1356460,24,1885,144.56,143.56,0,0,864,Beverages,Thai,614,85,TYPEB,3.6,IL,US
02-12-2018,1436702,24,1885,142.62,143.62,0,0,1067,Beverages,Thai,614,85,TYPEB,3.6,IL,US
09-12-2018,1321666,24,1885,146.53,145.53,0,0,838,Beverages,Thai,614,85,TYPEB,3.6,IL,US
16-12-2018,1449594,24,1885,144.53,144.53,0,0,1161,Beverages,Thai,614,85,TYPEB,3.6,IL,US
23-12-2018,1169199,24,1885,142.59,144.59,0,0,1040,Beverages,Thai,614,85,TYPEB,3.6,IL,US
30-12-2018,1450268,24,1885,145.53,146.53,0,0,1160,Beverages,Thai,614,85,TYPEB,3.6,IL,US
06-01-2019,1041153,24,1885,120.28,144.53,0,1,1268,Beverages,Thai,614,85,TYPEB,3.6,mh,in
13-01-2019,1176885,24,1885,123.25,146.53,0,1,1485,Beverages,Thai,614,85,TYPEB,3.6,IL,US
20-01-2019,1243143,24,1885,121.25,144.53,0,1,1836,Beverages,Thai,614,85,TYPEB,3.6,IL,US
27-01-2019,1139839,24,1885,122.25,144.53,0,1,1242,Beverages,Thai,614,85,TYPEB,3.6,IL,US
03-02-2019,1207611,24,1885,123.25,146.53,1,1,1647,Beverages,Thai,614,85,TYPEB,3.6,IL,US
