high_gpa,math_sat,verb_sat,comp_gpa,univ_gpa,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,POSTED_BY1,UNDER_CONSTRUCTION1,RERA1,BHK_NO.1,BHK_OR_RK1,SQUARE_FT1
2,557,503,2,2,Owner,0,0,1,BHK,545.1713396,1,1,"Kamrej,Surat",21.262,73.0477,Owner,0,0,1,BHK,545.1713396
2,557,503,2,2,Dealer,1,1,2,BHK,800,0,0,"Panvel,Lalitpur",18.966114,73.148278,Dealer,1,1,2,BHK,800
2,557,503,2,2,Dealer,0,0,2,BHK,1257.096513,1,1,"New Town,Kolkata",22.5922,88.484911,Dealer,0,0,2,BHK,1257.096513
2,557,503,2,2,Dealer,0,0,3,BHK,1400.329489,1,1,"Kalwar Road,Jaipur",26.9883,75.5846,Dealer,0,0,3,BHK,1400.329489
2,557,503,2,2,Owner,0,0,1,BHK,430.4778304,1,1,"Mai Mandir,Nadiad",22.7,72.87,Owner,0,0,1,BHK,430.4778304
2,557,503,2,2,Owner,0,0,2,BHK,500,1,1,"Elora Park,Vadodara",21.716412,73.004076,Owner,0,0,2,BHK,500
2,557,503,2,2,Dealer,0,0,1,BHK,724.8358862,1,1,"Shirgaon,Maharashtra",19.032025,73.621535,Dealer,0,0,1,BHK,724.8358862
2,557,503,2,2,Dealer,1,1,1,BHK,778.842862,0,1,"Anjurdive,Mumbai",18.96667,72.83333,Dealer,1,1,1,BHK,778.842862
2,557,503,2,2,Dealer,0,0,1,BHK,600.0558191,1,1,"Rambaug,Maharashtra",19.243817,73.134692,Dealer,0,0,1,BHK,600.0558191
2,557,503,2,2,Dealer,0,0,2,BHK,1323.591698,1,1,"Borivali (West),Lalitpur",19.2361,72.8338,Dealer,0,0,2,BHK,1323.591698
2,557,503,2,2,Dealer,0,1,4,BHK,2773.527161,1,1,"Mahanagar,Lucknow",26.86056,80.91583,Dealer,0,1,4,BHK,2773.527161
2,557,503,2,2,Owner,0,0,3,BHK,1653.225806,1,1,"Dairy Farm Road,Secunderabad",11.655167,92.728718,Owner,0,0,3,BHK,1653.225806
2,557,503,2,2,Owner,0,0,4,BHK,2549.162418,1,1,"Pal Road,Jodhpur",26.173068,73.26135,Owner,0,0,4,BHK,2549.162418
2,557,503,2,2,Dealer,0,0,3,BHK,1590.348231,1,1,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,Dealer,0,0,3,BHK,1590.348231
2,557,503,2,2,Owner,0,0,2,BHK,1304.347826,1,1,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,Owner,0,0,2,BHK,1304.347826
2,557,503,2,2,Dealer,1,1,3,BHK,1538.461538,0,1,"Jalahalli,Bangalore",13.0519,77.5416,Dealer,1,1,3,BHK,1538.461538
2,557,503,2,2,Owner,0,1,2,BHK,1140.065147,1,1,"Sector-45 Noida,Noida",28.553374,77.355611,Owner,0,1,2,BHK,1140.065147
2,557,503,2,2,Owner,0,0,1,BHK,550.0550055,1,1,"New Barrakpur,Kolkata",22.680731,88.442807,Owner,0,0,1,BHK,550.0550055
2,557,503,2,2,Owner,0,0,2,BHK,1135.07378,1,1,"Immadihalli,Bangalore",12.96573,77.763567,Owner,0,0,2,BHK,1135.07378
2,557,503,2,2,Dealer,0,0,2,BHK,1000.870322,1,1,"Mihan,Lalitpur",24.69028,78.41889,Dealer,0,0,2,BHK,1000.870322
2,557,503,2,2,Owner,0,0,3,BHK,1209.977662,1,1,"Chikkabanavar,Bangalore",13.08465,77.50141,Owner,0,0,3,BHK,1209.977662
2,557,503,2,2,Dealer,0,0,3,BHK,1522.857143,1,1,"Chinnakakani,Guntur",16.4046,80.5579,Dealer,0,0,3,BHK,1522.857143
2,557,503,2,2,Dealer,1,1,3,BHK,1645.16129,0,1,"Zirakpur,Chandigarh",30.662283,76.822397,Dealer,1,1,3,BHK,1645.16129
2,557,503,2,2,Dealer,0,1,3,BHK,1705.237515,1,1,"Faizabad Road,Lucknow",26.86056,80.91583,Dealer,0,1,3,BHK,1705.237515
2,557,503,2,2,Owner,1,0,2,BHK,900.090009,0,1,"Ghumni Bazar Near Jaiswal Dharmshala Number 1,Kanpur",26.4725,80.33111,Owner,1,0,2,BHK,900.090009
2,557,503,2,2,Dealer,0,1,2,BHK,1209.912536,1,1,"Shamshabad Road,Agra",27.140626,78.043277,Dealer,0,1,2,BHK,1209.912536
2,557,503,2,2,Dealer,0,0,1,BHK,453.0405994,1,1,"Kutwal Colony,Pune",18.52361,73.84778,Dealer,0,0,1,BHK,453.0405994
2,557,503,2,2,Owner,0,0,1,BHK,740.3490217,1,1,"Atladra,Vadodara",22.271018,73.154216,Owner,0,0,1,BHK,740.3490217
2,557,503,2,2,Dealer,0,0,3,BHK,1098.169717,1,1,"Rajarhat,Kolkata",22.54111,88.33778,Dealer,0,0,3,BHK,1098.169717
2,557,503,2,2,Owner,0,0,2,BHK,1055.297594,1,1,"Noida Extension,Noida",28.579004,77.431173,Owner,0,0,2,BHK,1055.297594
2,557,503,2,2,Dealer,0,0,2,BHK,1276.343129,1,1,"Gazipur,Mohali",30.638175,76.829909,Dealer,0,0,2,BHK,1276.343129
2,557,503,2,2,Dealer,1,1,2,BHK,1200.102354,0,1,"Gomti Nagar Extension,Lucknow",21,77,Dealer,1,1,2,BHK,1200.102354
2,557,503,2,2,Owner,0,0,2,BHK,1139.896373,1,1,"Manjapalam,Kannur",11.86889,75.35556,Owner,0,0,2,BHK,1139.896373
2,557,503,2,2,Dealer,0,0,2,BHK,1036.881481,1,1,"Eon Free Zone,Pune",18.5511925,73.9499365,Dealer,0,0,2,BHK,1036.881481
2,557,503,2,2,Dealer,0,0,3,BHK,1640.240569,1,1,"Bannerghatta Road,Bangalore",12.808137,77.58308,Dealer,0,0,3,BHK,1640.240569
2,557,503,2,2,Dealer,0,0,1,BHK,600.0393468,1,1,"Sector-52 Chandigarh,Chandigarh",30.712635,76.738319,Dealer,0,0,1,BHK,600.0393468
2,557,503,2,2,Dealer,1,0,3,BHK,900,0,1,"Kalapahar,Guwahati",26.16667,91.76667,Dealer,1,0,3,BHK,900
2,557,503,2,2,Dealer,0,1,4,BHK,3004.085556,1,1,"Bavdhan,Pune",18.510418,73.781944,Dealer,0,1,4,BHK,3004.085556
2,557,503,2,2,Dealer,1,0,3,BHK,2126.716881,0,1,"Rajaji Nagar,Bangalore",12.9847,77.5491,Dealer,1,0,3,BHK,2126.716881
2,557,503,2,2,Dealer,0,1,3,BHK,1200.401808,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,Dealer,0,1,3,BHK,1200.401808
2,557,503,2,2,Owner,0,0,2,BHK,1133.093525,1,1,"5th Phase JP Nagar,Bangalore",12.905368,77.580403,Owner,0,0,2,BHK,1133.093525
2,557,503,2,2,Dealer,1,1,3,BHK,642.8214107,0,0,"Sector-37C Gurgaon,Gurgaon",28.45122,76.985149,Dealer,1,1,3,BHK,642.8214107
2,557,503,2,2,Dealer,1,1,3,BHK,1096.829477,0,1,"Sector 78 Faridabad,Faridabad",28.38016,77.369936,Dealer,1,1,3,BHK,1096.829477
2,557,503,2,2,Dealer,0,0,3,BHK,1552.795031,1,1,"Sector-63 Chandigarh,Chandigarh",30.73528,76.79111,Dealer,0,0,3,BHK,1552.795031
2,557,503,2,2,Dealer,0,1,2,BHK,1199.760048,1,1,"Jayanagar,Bangalore",12.925,77.595,Dealer,0,1,2,BHK,1199.760048
2,557,503,2,2,Dealer,0,0,2,BHK,1200.048002,1,1,"Malad (West),Lalitpur",19.1849,72.8347,Dealer,0,0,2,BHK,1200.048002
2,557,503,2,2,Builder,1,1,1,BHK,337.2961017,0,0,"Vaibhavwadi,Maharashtra",16.49639,73.74583,Builder,1,1,1,BHK,337.2961017
2,557,503,2,2,Dealer,0,0,3,BHK,1288.549094,1,1,"Azad Nagar,Lalitpur",19.13057,72.833721,Dealer,0,0,3,BHK,1288.549094
2,557,503,2,2,Dealer,0,0,2,BHK,850.0640752,1,1,"Guru Teg Bahadur Nagar,Mohali",30.75501,76.640515,Dealer,0,0,2,BHK,850.0640752
2,557,503,2,2,Owner,0,0,2,BHK,1000,1,1,"Giriraj Nagar,Jaipur",21.296484,70.245538,Owner,0,0,2,BHK,1000
2,557,503,2,2,Owner,0,0,1,BHK,500,1,1,"Kedgaon,Ahmednagar",19.063556,74.707791,Owner,0,0,1,BHK,500
2,557,503,2,2,Dealer,1,1,2,BHK,1017.029328,0,1,"Kharadi,Pune",18.5438,73.9438,Dealer,1,1,2,BHK,1017.029328
2,557,503,2,2,Owner,0,0,2,BHK,1475.261008,1,1,"Naim nagar, beside tejaswi school,Warangal",18.016834,79.552479,Owner,0,0,2,BHK,1475.261008
2,557,503,2,2,Owner,0,1,3,BHK,1500,1,1,"Shatabdi Nagar,Meerut",21.23559,81.664565,Owner,0,1,3,BHK,1500
2,557,503,2,2,Dealer,1,0,3,BHK,1410.105758,0,1,"Kalapahar,Guwahati",26.16667,91.76667,Dealer,1,0,3,BHK,1410.105758
2,557,503,2,2,Owner,0,0,2,BHK,1100.110011,1,1,"Ganapathy,Coimbatore",11.060813,76.970641,Owner,0,0,2,BHK,1100.110011
2,557,503,2,2,Dealer,0,0,1,BHK,550.0261917,1,1,"Azad Nagar,Lalitpur",19.13057,72.833721,Dealer,0,0,1,BHK,550.0261917
2,557,503,2,2,Dealer,1,0,2,BHK,1213.694941,0,0,"Sector-79 Noida,Noida",28.558047,77.392752,Dealer,1,0,2,BHK,1213.694941
2,557,503,2,2,Owner,0,0,2,BHK,1248,1,1,"Palanpur,Surat",21.17,72.83,Owner,0,0,2,BHK,1248
2,557,503,2,2,Dealer,0,0,4,BHK,3290.722693,1,1,"Sector-67 Gurgaon,Gurgaon",28.378021,77.063066,Dealer,0,0,4,BHK,3290.722693
2,557,503,2,2,Owner,0,0,2,BHK,1023.017903,1,1,"Neamatpur,Asansol",23.71384,86.88069,Owner,0,0,2,BHK,1023.017903
2,557,503,2,2,Dealer,0,0,2,BHK,1100.244499,1,1,"Sector 78 Faridabad,Faridabad",28.38016,77.369936,Dealer,0,0,2,BHK,1100.244499
2,557,503,2,2,Owner,0,0,2,BHK,950.3239741,1,1,"Patel Colony,Jamnagar",22.485666,70.058918,Owner,0,0,2,BHK,950.3239741
2,557,503,2,2,Dealer,0,0,2,BHK,654.0044145,1,1,"Shanti Nagar,Lalitpur",12.956863,77.599192,Dealer,0,0,2,BHK,654.0044145
2,557,503,2,2,Owner,0,0,2,BHK,900.1285898,1,1,"Narendrapur,Kolkata",22.43917,88.39583,Owner,0,0,2,BHK,900.1285898
2,557,503,2,2,Owner,0,0,2,BHK,798.3682984,1,1,"Chhiri,Vapi",20.379733,72.940881,Owner,0,0,2,BHK,798.3682984
2,557,503,2,2,Owner,1,1,3,BHK,1750.198886,0,1,"Sector-150 Noida,Noida",28.429614,77.481711,Owner,1,1,3,BHK,1750.198886
2,557,503,2,2,Owner,0,0,1,BHK,700.097688,1,1,"Calangute,Goa",15.545,73.76306,Owner,0,0,1,BHK,700.097688
2,557,503,2,2,Dealer,0,0,2,BHK,1000,1,1,"Kharghar,Maharashtra",19.038205,73.06612,Dealer,0,0,2,BHK,1000
2,557,503,2,2,Dealer,0,0,1,RK,525.006908,1,1,"Santacruz (East),Lalitpur",19.0916,72.8581,Dealer,0,0,1,RK,525.006908
2,557,503,2,2,Owner,0,0,2,BHK,1260.145237,1,1,"Rajanna Layout,Bangalore",12.96991,77.59796,Owner,0,0,2,BHK,1260.145237
2,557,503,2,2,Dealer,0,1,3,BHK,1725.084294,1,1,"Belapur,Mumbai",19.01891,73.039292,Dealer,0,1,3,BHK,1725.084294
2,557,503,2,2,Dealer,0,1,2,BHK,1050.026752,1,1,"Mira Road East,Maharashtra",19.2836,72.8675,Dealer,0,1,2,BHK,1050.026752
2,557,503,2,2,Dealer,0,0,2,BHK,815.9225863,1,1,"Picnic Garden,Kolkata",22.54111,88.33778,Dealer,0,0,2,BHK,815.9225863
2,557,503,2,2,Owner,0,0,2,BHK,419.76722,1,1,"New Vijay Nagar Colony,Ghaziabad",28.644515,77.429607,Owner,0,0,2,BHK,419.76722
2,557,503,2,2,Dealer,1,1,3,BHK,1804.949054,0,1,"Bhimrad,Surat",21.12359,72.804292,Dealer,1,1,3,BHK,1804.949054
2,557,503,2,2,Dealer,0,0,2,BHK,1137.254902,1,1,"Mihan,Lalitpur",24.69028,78.41889,Dealer,0,0,2,BHK,1137.254902
2,557,503,2,2,Dealer,0,0,3,BHK,1400.203666,1,1,"Kalavad Road,Rajkot",22.290385,70.781479,Dealer,0,0,3,BHK,1400.203666
2,557,503,2,2,Owner,0,1,3,BHK,1345.216075,1,1,"Sector-78 Noida,Noida",28.560719,77.386208,Owner,0,1,3,BHK,1345.216075
2,557,503,2,2,Dealer,0,0,2,BHK,957.9617834,1,1,"Sector-137 Noida,Noida",28.506454,77.409568,Dealer,0,0,2,BHK,957.9617834
2,557,503,2,2,Owner,1,1,2,BHK,1379.944802,0,1,"Sector-79 Noida,Noida",28.558047,77.392752,Owner,1,1,2,BHK,1379.944802
2,557,503,2,2,Owner,0,0,3,BHK,1200,1,1,"Arya Nagar,Kanpur",26.483325,80.320427,Owner,0,0,3,BHK,1200
2,557,503,2,2,Dealer,0,0,2,BHK,1148.066858,1,1,"Dodda Nekkundi Extension,Bangalore",12.96991,77.59796,Dealer,0,0,2,BHK,1148.066858
2,557,503,2,2,Dealer,0,0,2,BHK,1100.044596,1,1,"Wakad,Pune",18.5993,73.7625,Dealer,0,0,2,BHK,1100.044596
2,557,503,2,2,Dealer,1,1,1,BHK,640.0665004,0,1,"Ravet,Pune",18.651598,73.735448,Dealer,1,1,1,BHK,640.0665004
2,557,503,2,2,Owner,0,0,3,BHK,1088.201604,1,1,"Sector-6 Karnal,Karnal",29.676163,77.00806,Owner,0,0,3,BHK,1088.201604
2,557,503,2,2,Owner,0,0,2,BHK,810.1265823,1,1,"Nalasopara (West),Mumbai",18.96667,72.83333,Owner,0,0,2,BHK,810.1265823
2,557,503,2,2,Owner,0,1,3,BHK,1509.149217,1,1,"Mihan,Nagpur",21.15389,79.08306,Owner,0,1,3,BHK,1509.149217
2,557,503,2,2,Dealer,1,0,2,BHK,854.7945205,0,1,"Jalukbari,Guwahati",26.154874,91.670312,Dealer,1,0,2,BHK,854.7945205
2,557,503,2,2,Owner,0,0,1,BHK,559.8455598,1,1,"Shirgaon,Palghar",19.69589,72.71527,Owner,0,0,1,BHK,559.8455598
