custid,active,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city,days_active,days_conversion,firstorderday,lastorderday,single_day_customer,days_lastorderrecency
6H6T6N,0,2012-09-28,2013-08-11,2013-08-11,29,100.0,3.448275862,14.52,0.0,0,0,0,Monday,DEL,0,317,Sunday,Sunday,True,1624
APCENR,1,2010-12-19,2011-04-01,2014-01-19,95,92.63157895,10.52631579,83.69,0.181640625,1,1,1,Friday,DEL,1024,103,Friday,Sunday,False,1463
7UP6MS,0,2010-10-03,2010-12-01,2011-07-06,0,0.0,0.0,33.58,0.059907834000000014,0,0,0,Wednesday,DEL,217,59,Wednesday,Wednesday,False,2391
7ZEW8G,0,2010-10-22,2011-03-28,2011-03-28,0,0.0,0.0,54.96,0.0,0,0,0,Thursday,BOM,0,157,Monday,Monday,True,2491
8V726M,1,2010-11-27,2010-11-29,2013-01-28,30,90.0,13.33333333,111.91,0.008849558,0,0,0,Monday,BOM,791,2,Monday,Monday,False,1819
2B6B83,1,2008-11-17,2010-10-12,2014-01-14,46,80.43478261,15.2173913,175.1,0.141176471,1,1,0,Wednesday,DEL,1190,694,Tuesday,Tuesday,False,1468
99XGVM,1,2011-01-24,2011-05-16,2014-01-16,60,43.33333333,6.666666667,116.55,0.125,0,1,0,Friday,BOM,976,112,Monday,Thursday,False,1466
U3MP5L,1,2009-12-04,2011-09-21,2014-01-16,64,28.125,15.625,68.1,0.04009434,1,1,0,Friday,DEL,848,656,Wednesday,Thursday,False,1466
ELKAGQ,1,2010-09-18,2010-11-09,2010-11-09,45,0.0,0.0,46.6,0.0,0,0,0,Wednesday,DEL,0,52,Tuesday,Tuesday,True,2630
3SBQP2,1,2010-12-29,2011-02-20,2013-12-10,34,94.11764706,8.823529412000001,66.07,0.133789063,1,0,0,Monday,DEL,1024,53,Sunday,Tuesday,False,1503
YMALVV,1,2010-09-22,2010-11-18,2014-01-15,48,83.33333333,2.083333333,89.04,0.086655113,0,0,1,Friday,DEL,1154,57,Thursday,Wednesday,False,1467
GW8NT7,1,2009-11-16,2011-05-09,2014-01-05,40,87.5,45.0,88.3,0.088477366,0,0,0,Wednesday,DEL,972,539,Monday,Sunday,False,1477
TFKLD4,1,2009-07-25,2010-11-15,2014-01-19,69,2.898550725,2.898550725,126.81,0.059431525,1,1,1,Monday,DEL,1161,478,Monday,Sunday,False,1463
RAQ92T,1,2010-03-14,2011-03-01,2013-10-06,38,36.84210526,23.68421053,116.77,0.078947368,0,0,0,Tuesday,DEL,950,352,Tuesday,Sunday,False,1568
DMJERJ,0,2011-04-11,2011-04-14,2014-01-13,16,12.5,0.0,59.25,0.129353234,1,1,0,Tuesday,DEL,1005,3,Thursday,Monday,False,1469
FJKD8W,1,2011-03-08,2011-03-27,2014-01-07,45,60.0,15.55555556,49.73,0.044247788,1,1,0,Wednesday,BOM,1017,19,Sunday,Tuesday,False,1475
HEPCW7,0,2010-10-02,2011-01-25,2014-01-12,13,61.53846154,15.38461538,156.54,0.119113573,1,0,0,Monday,DEL,1083,115,Tuesday,Sunday,False,1470
2JZAE3,1,2010-08-30,2012-03-12,2013-10-15,48,8.333333332999999,2.083333333,101.06,0.037800687,0,0,0,Monday,DEL,582,560,Monday,Tuesday,False,1559
BYS2DU,1,2011-02-02,2011-04-10,2014-01-19,57,17.54385965,0.0,14.02,0.06600985200000001,0,0,0,Monday,BOM,1015,67,Sunday,Sunday,False,1463
F6MHUM,1,2010-09-14,2011-05-03,2014-01-15,46,65.21739129999999,8.695652174,79.39,0.069838057,1,0,0,Thursday,DEL,988,231,Tuesday,Wednesday,False,1467
